language,deprel,n_pairs,mean_dep_length,median_dep_length,mean_arity,mean_subtree_size,pct_heads_struct,top_intervener_pos
Arabic,advmod,4460,15.604,9.0,0.646,2.657,0.38,"NOUN(1462), ADP(682), ADJ(470)"
Arabic,amod,7206,4.035,3.0,0.261,1.418,0.194,"NOUN(2228), ADJ(2196), ADP(592)"
Arabic,det,1210,13.392,9.0,0.575,2.173,0.346,"NOUN(369), ADP(307), ADJ(207)"
Arabic,nmod,45027,6.377,4.0,0.315,1.549,0.213,"ADP(16020), NOUN(9671), ADJ(7534)"
Arabic,nsubj,18580,10.596,7.0,0.546,2.126,0.338,"NOUN(5048), ADP(2764), ADJ(2246)"
Arabic,obj,11354,11.353,9.0,0.665,2.359,0.412,"NOUN(4267), ADJ(1458), ADP(1433)"
Arabic,obl,80177,12.031,8.0,0.557,2.19,0.348,"ADP(25758), NOUN(25271), ADJ(8664)"
Chinese,advmod,3185,9.67,7.0,0.539,1.869,0.288,"NOUN(696), AUX(334), ADP(310)"
Chinese,amod,1988,5.565,4.0,0.273,1.377,0.17,"NOUN(638), SCONJ(535), VERB(166)"
Chinese,det,976,4.195,3.0,0.209,1.304,0.136,"PART(291), NOUN(268), NUM(176)"
Chinese,nmod,24815,8.187,5.0,0.38,1.582,0.231,"NOUN(7994), PART(4394), PROPN(3262)"
Chinese,nsubj,32456,14.679,12.0,0.653,2.148,0.325,"NOUN(7410), VERB(3723), PROPN(3581)"
Chinese,obj,15374,7.066,6.0,0.435,1.612,0.263,"NOUN(4516), VERB(2084), PART(1890)"
Chinese,obl,8194,11.257,9.0,0.532,1.876,0.286,"NOUN(1977), ADP(1009), PUNCT(941)"
English,advmod,12552,7.089,5.0,0.356,1.588,0.196,"PRON(1891), NOUN(1813), AUX(1558)"
English,amod,3577,4.536,3.0,0.285,1.392,0.217,"ADJ(1023), NOUN(1004), PUNCT(525)"
English,det,10309,3.509,3.0,0.224,1.311,0.182,"ADJ(4455), NOUN(2385), PROPN(1164)"
English,nmod,20219,5.113,4.0,0.191,1.263,0.123,"ADP(7298), DET(2571), ADJ(2403)"
English,nsubj,29566,7.196,4.0,0.287,1.472,0.146,"AUX(10868), ADV(3023), DET(2363)"
English,obj,11925,3.707,3.0,0.162,1.248,0.119,"DET(4121), ADJ(2081), PRON(1485)"
English,obl,35951,7.451,6.0,0.327,1.514,0.192,"ADP(10538), DET(5591), NOUN(5393)"
French,advmod,17784,10.23,8.0,0.47,1.869,0.221,"DET(3230), NOUN(2956), ADP(2801)"
French,amod,4130,4.686,3.0,0.326,1.465,0.219,"ADJ(1019), NOUN(680), ADP(541)"
French,det,5582,2.185,2.0,0.059,1.147,0.058,"ADJ(4237), NUM(518), ADV(379)"
French,nmod,63857,5.079,3.0,0.175,1.251,0.094,"ADP(30878), DET(16433), ADJ(4781)"
French,nsubj,55054,12.669,8.0,0.479,1.84,0.217,"AUX(10198), ADP(7196), DET(7143)"
French,obj,16562,4.106,3.0,0.193,1.34,0.103,"DET(9136), ADP(1378), ADV(1331)"
French,obl,90094,9.081,7.0,0.402,1.659,0.203,"ADP(28067), DET(22036), NOUN(12382)"
German,advmod,31569,9.292,7.0,0.582,1.999,0.297,"NOUN(6279), DET(5583), ADP(4868)"
German,amod,4790,5.19,3.0,0.385,1.561,0.263,"ADJ(1550), PUNCT(970), NOUN(413)"
German,det,16874,4.221,3.0,0.322,1.528,0.228,"ADJ(9482), PROPN(1705), PUNCT(1445)"
German,nmod,43080,6.424,4.0,0.291,1.47,0.166,"DET(11946), ADP(11333), PROPN(4580)"
German,nsubj,66855,10.889,9.0,0.616,2.01,0.301,"NOUN(12032), DET(11486), ADP(9329)"
German,obj,22298,8.832,7.0,0.531,1.81,0.275,"DET(5037), NOUN(3678), ADP(2804)"
German,obl,72207,10.859,9.0,0.542,1.887,0.278,"ADP(13955), DET(13236), NOUN(12080)"
Hindi,advmod,3289,8.634,8.0,0.565,2.067,0.33,"NOUN(1055), ADP(702), PROPN(325)"
Hindi,amod,4262,3.61,3.0,0.16,1.2,0.112,"ADJ(1295), NOUN(962), PROPN(670)"
Hindi,det,1333,2.48,2.0,0.067,1.07,0.052,"ADJ(565), NOUN(221), PART(201)"
Hindi,nmod,49481,6.62,4.0,0.291,1.5,0.15,"ADP(21803), PROPN(7752), NOUN(6003)"
Hindi,nsubj,90949,12.955,11.0,0.655,2.258,0.344,"ADP(27500), NOUN(24297), PROPN(10778)"
Hindi,obj,55447,13.544,12.0,0.587,2.157,0.306,"ADP(15104), NOUN(13582), ADJ(5782)"
Hindi,obl,157687,12.899,11.0,0.57,2.026,0.309,"ADP(56088), NOUN(42026), PROPN(17919)"
Japanese,advmod,7368,17.585,11.0,0.723,2.421,0.33,"NOUN(2682), ADP(2234), PUNCT(512)"
Japanese,amod,178,3.449,3.0,0.051,1.051,0.028,"NOUN(129), NUM(14), SYM(9)"
Japanese,det,178,2.876,3.0,0.169,1.185,0.129,"NOUN(106), PROPN(19), AUX(17)"
Japanese,nmod,27823,6.922,4.0,0.234,1.383,0.115,"ADP(12361), NOUN(7820), PUNCT(2132)"
Japanese,nsubj,40644,16.528,13.0,0.641,2.31,0.278,"ADP(15644), NOUN(12081), PUNCT(2314)"
Japanese,obj,7962,5.456,3.0,0.244,1.352,0.13,"ADP(5515), NOUN(1188), PUNCT(291)"
Japanese,obl,62597,16.655,12.0,0.635,2.236,0.279,"ADP(25195), NOUN(18471), PUNCT(3866)"
Spanish,advmod,9604,6.616,4.0,0.336,1.618,0.174,"ADP(1628), DET(1486), AUX(1305)"
Spanish,amod,5421,5.918,3.0,0.337,1.572,0.219,"ADJ(976), ADV(921), ADP(808)"
Spanish,det,7534,2.634,2.0,0.085,1.193,0.062,"ADJ(3845), NUM(1231), DET(604)"
Spanish,nmod,80701,5.508,4.0,0.199,1.329,0.109,"ADP(38234), DET(18213), ADJ(5960)"
Spanish,nsubj,44893,10.46,8.0,0.52,1.905,0.244,"DET(6819), ADP(6313), PROPN(5979)"
Spanish,obj,14646,4.217,3.0,0.182,1.27,0.105,"DET(7826), ADP(1953), ADJ(1221)"
Spanish,obl,86061,9.217,7.0,0.428,1.755,0.221,"ADP(27967), DET(19325), NOUN(10712)"
Turkish,advmod,2557,7.916,6.0,0.489,1.842,0.323,"NOUN(793), ADJ(316), VERB(285)"
Turkish,amod,2120,6.404,4.0,0.311,1.469,0.215,"ADP(454), NOUN(452), ADJ(331)"
Turkish,det,275,5.404,3.0,0.36,1.615,0.244,"NOUN(87), ADJ(76), VERB(35)"
Turkish,nmod,3796,7.599,5.0,0.465,1.765,0.297,"NOUN(1077), ADJ(536), VERB(395)"
Turkish,nsubj,9528,10.422,9.0,0.601,2.126,0.374,"NOUN(3118), ADJ(1174), VERB(1054)"
Turkish,obj,2164,6.974,5.0,0.505,1.858,0.334,"NOUN(666), ADJ(255), VERB(241)"
Turkish,obl,5516,8.874,7.0,0.553,2.026,0.356,"NOUN(1998), ADJ(666), VERB(487)"
